"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Oct 10 04:13:15 UTC 2022","Mon Oct 10 04:13:17 UTC 2022","1949","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","search","search",""
"failed","Mon Oct 10 04:17:34 UTC 2022","Mon Oct 10 04:17:40 UTC 2022","5234","","Orders API tests List all orders orderby","","Orders API tests List all orders orderby","include","include",""
"skipped","Mon Oct 10 10:54:23 UTC 2022","Mon Oct 10 10:54:23 UTC 2022","0","Chrome","","Products API tests: List All Products > List all products","","","shipping class",""
"passed","Mon Oct 10 04:19:12 UTC 2022","Mon Oct 10 04:19:19 UTC 2022","7748","","Products API tests: CRUD Batch update products","","Products API tests: CRUD Batch update products","can batch delete products","can batch delete products",""
"passed","Mon Oct 10 04:18:57 UTC 2022","Mon Oct 10 04:18:59 UTC 2022","2550","","Products API tests: CRUD","","Products API tests: CRUD","can update a single product","can update a single product",""
"passed","Mon Oct 10 10:48:45 UTC 2022","Mon Oct 10 10:48:47 UTC 2022","1825","Chrome","","Order Search API tests","","","can search by billing company name",""
"failed","Mon Oct 10 04:13:29 UTC 2022","Mon Oct 10 04:13:31 UTC 2022","1914","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","on sale","on sale",""
"passed","Mon Oct 10 10:48:58 UTC 2022","Mon Oct 10 10:49:00 UTC 2022","1687","Chrome","","Order Search API tests","","","can search by shipping last name",""
"failed","Mon Oct 10 04:14:10 UTC 2022","Mon Oct 10 04:14:15 UTC 2022","5791","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","slug","slug",""
"passed","Mon Oct 10 10:50:20 UTC 2022","Mon Oct 10 10:50:24 UTC 2022","3536","Chrome","","Orders API tests: CRUD > Delete an order","","","can permanently delete an order",""
"passed","Mon Oct 10 04:17:51 UTC 2022","Mon Oct 10 04:17:54 UTC 2022","2069","","Coupons API tests","","Coupons API tests","can retrieve a coupon","can retrieve a coupon",""
"passed","Mon Oct 10 04:21:36 UTC 2022","Mon Oct 10 04:21:38 UTC 2022","2187","","Shipping zones API tests","","Shipping zones API tests","cannot update the default shipping zone","cannot update the default shipping zone",""
"failed","Mon Oct 10 04:16:55 UTC 2022","Mon Oct 10 04:16:57 UTC 2022","2588","","Orders API tests List all orders","","Orders API tests List all orders","status","status",""
"passed","Mon Oct 10 10:51:26 UTC 2022","Mon Oct 10 10:51:28 UTC 2022","1672","Chrome","","Shipping zones API tests","","","can list all shipping zones",""
"failed","Mon Oct 10 04:16:21 UTC 2022","Mon Oct 10 04:16:22 UTC 2022","1768","","Orders API tests","","Orders API tests","can retrieve an order","can retrieve an order",""
