"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 17 17:36:29 UTC 2022","Tue May 17 17:36:30 UTC 2022","77","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","rating (desc)","rating (desc)",""
"skipped","Tue May 17 17:36:30 UTC 2022","Tue May 17 17:36:30 UTC 2022","0","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","popularity (asc)","popularity (asc)",""
"passed","Tue May 17 17:36:46 UTC 2022","Tue May 17 17:36:46 UTC 2022","75","","Coupons API tests List coupons","","Coupons API tests List coupons","can limit result set to matching code","can limit result set to matching code",""
"passed","Tue May 17 17:36:27 UTC 2022","Tue May 17 17:36:27 UTC 2022","197","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","categories","categories",""
"passed","Tue May 17 17:36:54 UTC 2022","Tue May 17 17:36:54 UTC 2022","74","","Shipping zones API tests","","Shipping zones API tests","can create a shipping zone","can create a shipping zone",""
"passed","Tue May 17 17:36:41 UTC 2022","Tue May 17 17:36:41 UTC 2022","309","","Orders API tests List all orders orderby","","Orders API tests List all orders orderby","id","id",""
"passed","Tue May 17 17:36:25 UTC 2022","Tue May 17 17:36:26 UTC 2022","373","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","inclusion / exclusion","inclusion / exclusion",""
"passed","Tue May 17 17:36:48 UTC 2022","Tue May 17 17:36:48 UTC 2022","131","","Products API tests: CRUD Batch update products","","Products API tests: CRUD Batch update products","can batch update products","can batch update products",""
"passed","Tue May 17 17:36:39 UTC 2022","Tue May 17 17:36:39 UTC 2022","415","","Orders API tests List all orders","","Orders API tests List all orders","inclusion / exclusion","inclusion / exclusion",""
"passed","Tue May 17 17:36:27 UTC 2022","Tue May 17 17:36:27 UTC 2022","255","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","price","price",""
"passed","Tue May 17 17:36:25 UTC 2022","Tue May 17 17:36:25 UTC 2022","149","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","search","search",""
"passed","Tue May 17 17:36:27 UTC 2022","Tue May 17 17:36:27 UTC 2022","196","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","on sale","on sale",""
"passed","Tue May 17 17:36:28 UTC 2022","Tue May 17 17:36:28 UTC 2022","81","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","tags","tags",""
"passed","Tue May 17 17:36:54 UTC 2022","Tue May 17 17:36:55 UTC 2022","74","","Shipping zones API tests","","Shipping zones API tests","can retrieve a shipping zone","can retrieve a shipping zone",""
"passed","Tue May 17 17:36:25 UTC 2022","Tue May 17 17:36:25 UTC 2022","431","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","pagination","pagination",""
"passed","Tue May 17 17:36:56 UTC 2022","Tue May 17 17:36:56 UTC 2022","88","","Refunds API tests","","Refunds API tests","can list all refunds","can list all refunds",""
"passed","Tue May 17 17:36:28 UTC 2022","Tue May 17 17:36:28 UTC 2022","180","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","parent","parent",""
"passed","Tue May 17 17:36:28 UTC 2022","Tue May 17 17:36:28 UTC 2022","98","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","date","date",""
"passed","Tue May 17 17:36:28 UTC 2022","Tue May 17 17:36:29 UTC 2022","270","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","title","title",""
"passed","Tue May 17 17:36:54 UTC 2022","Tue May 17 17:36:54 UTC 2022","231","","Shipping zones API tests","","Shipping zones API tests","cannot delete the default shipping zone ""Locations not covered by your other zones""","cannot delete the default shipping zone ""Locations not covered by your other zones""",""
"passed","Tue May 17 17:36:38 UTC 2022","Tue May 17 17:36:38 UTC 2022","170","","Orders API tests","","Orders API tests","can permanently delete an order","can permanently delete an order",""
"passed","Tue May 17 17:36:49 UTC 2022","Tue May 17 17:36:50 UTC 2022","327","","Orders API tests: CRUD Create an order","","Orders API tests: CRUD Create an order","can create an order with status 'completed'","can create an order with status 'completed'",""
"passed","Tue May 17 17:36:58 UTC 2022","Tue May 17 17:36:58 UTC 2022","156","","Shipping methods API tests","","Shipping methods API tests","can add a 'Flat rate' shipping method","can add a 'Flat rate' shipping method",""
"passed","Tue May 17 17:36:45 UTC 2022","Tue May 17 17:36:45 UTC 2022","112","","Coupons API tests Batch update coupons","","Coupons API tests Batch update coupons","can batch create coupons","can batch create coupons",""
"passed","Tue May 17 17:36:38 UTC 2022","Tue May 17 17:36:38 UTC 2022","132","","Orders API tests","","Orders API tests","can create an order","can create an order",""
"passed","Tue May 17 17:36:57 UTC 2022","Tue May 17 17:36:57 UTC 2022","77","","Order Search API tests","","Order Search API tests","can search by billing city name","can search by billing city name",""
"passed","Tue May 17 17:36:40 UTC 2022","Tue May 17 17:36:40 UTC 2022","229","","Orders API tests List all orders","","Orders API tests List all orders","customer","customer",""
"passed","Tue May 17 17:36:41 UTC 2022","Tue May 17 17:36:42 UTC 2022","226","","Orders API tests List all orders orderby","","Orders API tests List all orders orderby","include","include",""
"passed","Tue May 17 17:36:29 UTC 2022","Tue May 17 17:36:29 UTC 2022","260","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","slug","slug",""
"passed","Tue May 17 17:36:55 UTC 2022","Tue May 17 17:36:55 UTC 2022","78","","Shipping zones API tests","","Shipping zones API tests","can update a shipping zone","can update a shipping zone",""
"passed","Tue May 17 17:36:55 UTC 2022","Tue May 17 17:36:55 UTC 2022","140","","Shipping zones API tests","","Shipping zones API tests","can delete a shipping zone","can delete a shipping zone",""
"passed","Tue May 17 17:36:56 UTC 2022","Tue May 17 17:36:57 UTC 2022","81","","Order Search API tests","","Order Search API tests","can search by orderId","can search by orderId",""
"passed","Tue May 17 17:36:27 UTC 2022","Tue May 17 17:36:28 UTC 2022","144","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","status","status",""
"passed","Tue May 17 17:36:55 UTC 2022","Tue May 17 17:36:55 UTC 2022","188","","Refunds API tests","","Refunds API tests","can create a refund","can create a refund",""
"passed","Tue May 17 17:36:57 UTC 2022","Tue May 17 17:36:57 UTC 2022","73","","Order Search API tests","","Order Search API tests","can search by billing address 2","can search by billing address 2",""
"passed","Tue May 17 17:36:29 UTC 2022","Tue May 17 17:36:29 UTC 2022","182","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","include","include",""
"passed","Tue May 17 17:36:57 UTC 2022","Tue May 17 17:36:57 UTC 2022","81","","Order Search API tests","","Order Search API tests","can search by billing post code","can search by billing post code",""
"passed","Tue May 17 17:36:46 UTC 2022","Tue May 17 17:36:46 UTC 2022","67","","Coupons API tests List coupons","","Coupons API tests List coupons","can limit results to matching string","can limit results to matching string",""
"passed","Tue May 17 17:36:57 UTC 2022","Tue May 17 17:36:57 UTC 2022","75","","Order Search API tests","","Order Search API tests","can search by shipping address 2","can search by shipping address 2",""
"passed","Tue May 17 17:36:26 UTC 2022","Tue May 17 17:36:27 UTC 2022","225","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","featured","featured",""
"passed","Tue May 17 17:36:40 UTC 2022","Tue May 17 17:36:41 UTC 2022","491","","Orders API tests List all orders","","Orders API tests List all orders","search","search",""
"passed","Tue May 17 17:36:51 UTC 2022","Tue May 17 17:36:52 UTC 2022","246","","Orders API tests: CRUD Update an order","","Orders API tests: CRUD Update an order","can pay for an order","can pay for an order",""
"passed","Tue May 17 17:36:57 UTC 2022","Tue May 17 17:36:57 UTC 2022","70","","Order Search API tests","","Order Search API tests","can search by shipping post code","can search by shipping post code",""
"passed","Tue May 17 17:36:48 UTC 2022","Tue May 17 17:36:48 UTC 2022","274","","Products API tests: CRUD Batch update products","","Products API tests: CRUD Batch update products","can batch delete products","can batch delete products",""
"passed","Tue May 17 17:36:40 UTC 2022","Tue May 17 17:36:40 UTC 2022","231","","Orders API tests List all orders","","Orders API tests List all orders","status","status",""
"passed","Tue May 17 17:36:55 UTC 2022","Tue May 17 17:36:55 UTC 2022","79","","Shipping zones API tests","","Shipping zones API tests","can list all shipping zones","can list all shipping zones",""
"passed","Tue May 17 17:36:44 UTC 2022","Tue May 17 17:36:44 UTC 2022","513","","Coupons API tests","","Coupons API tests","can create a coupon","can create a coupon",""
"passed","Tue May 17 17:36:56 UTC 2022","Tue May 17 17:36:56 UTC 2022","268","","Refunds API tests","","Refunds API tests","can delete a refund","can delete a refund",""
